car_make_value,car_type_value,alimentation_value,carosserie_value,puissance_value,id,name,year,details
FIAT,DUCATO,DIES,FGN,7,FI28AU8,MAXI 3.5 LH2 2.2 H3-POWER 140 EVOLUZIONE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28ANH,MAXI 3.5 LH2 2.2 H3-POWER 140 PACK,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AU5,MAXI 3.5 LH2 2.2 H3-POWER 140 PACK BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28ANJ,MAXI 3.5 LH2 2.2 H3-POWER 140 PRO LOUNGE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AU7,MAXI 3.5 LH2 2.2 H3-POWER 140 PRO LOUNGE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28ANM,MAXI 3.5 LH2 2.2 H3-POWER 160 BUSINESS,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AUA,MAXI 3.5 LH2 2.2 H3-POWER 160 BUSINESS BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28ANL,MAXI 3.5 LH2 2.2 H3-POWER 160 PACK,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AU9,MAXI 3.5 LH2 2.2 H3-POWER 160 PACK BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AWZ,MAXI 3.5 LH2 2.2 H3-POWER 180,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AXD,MAXI 3.5 LH2 2.2 H3-POWER 180 BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28ANQ,MAXI 3.5 LH2 2.2 H3-POWER 180 BUSINESS,A partir de 2022,A partir de 2022
